Date,Event,Details,Billing on,Shop name,Shop country,Shop email,Shop domain
2021-05-03 21:05:21 UTC,Installed,,,Soul Full Tribe,CA,info@soulfulltribe.ca,soul-full-tribe.myshopify.com
2021-05-03 21:12:47 UTC,Installed,,,FRWRD Skincare™,CA,frwrdskin@gmail.com,frwrd-skincare.myshopify.com
2021-05-03 21:18:34 UTC,Recurring charge accepted,In Cart Upsell - FLEX - 0.0,,FRWRD Skincare™,CA,frwrdskin@gmail.com,frwrd-skincare.myshopify.com
2021-05-03 21:18:36 UTC,Recurring charge activated,In Cart Upsell - FLEX - 0.0,2021-06-02,FRWRD Skincare™,CA,frwrdskin@gmail.com,frwrd-skincare.myshopify.com
2021-05-03 21:39:49 UTC,Closed Store,,,Bootiqe,DE,orkan.bircan@outlook.com,theupgraderrstore.myshopify.com
2021-05-03 21:59:28 UTC,Recurring charge accepted,In Cart Upsell - FLEX - 0.0,,Riley Clemmons Official Store,US,customercare@famehouse.net,riley-clemmons-official.myshopify.com
2021-05-03 21:59:29 UTC,Recurring charge activated,In Cart Upsell - FLEX - 0.0,2021-06-02,Riley Clemmons Official Store,US,customercare@famehouse.net,riley-clemmons-official.myshopify.com
2021-05-03 22:06:52 UTC,Installed,,,myangelina,US,support@myangelina.com,myangelina.myshopify.com
2021-05-03 22:40:19 UTC,Installed,,,chakra9.com,US,mychakra9@gmail.com,chakra9.myshopify.com
2021-05-03 22:40:37 UTC,Closed Store,,,Ihr-Elektronik-Glück,DE,t.jay.privat@gmx.de,boom-shopping-planet.myshopify.com
2021-05-03 22:40:38 UTC,Recurring charge cancelled,In Cart Upsell - FLEX - 0.0,2021-05-24,Ihr-Elektronik-Glück,DE,t.jay.privat@gmx.de,boom-shopping-planet.myshopify.com
2021-05-03 22:44:15 UTC,Installed,,,WILD BABOON,DE,kontakt@wildbaboon.de,wildbaboonshop.myshopify.com
2021-05-03 22:44:26 UTC,Uninstalled,"",,chakra9.com,US,mychakra9@gmail.com,chakra9.myshopify.com
2021-05-03 22:44:42 UTC,Uninstalled,"",,WILD BABOON,DE,kontakt@wildbaboon.de,wildbaboonshop.myshopify.com
2021-05-03 22:50:31 UTC,Re-opened Store,,,Taapano,NZ,eddmutex@gmail.com,taapano.myshopify.com
2021-05-03 23:08:57 UTC,Installed,,,Mazvil,FR,mazvil81@gmail.com,mazvil.myshopify.com
2021-05-03 23:10:47 UTC,Recurring charge declined,In Cart Upsell - FLEX - 0.0,,Mazvil,FR,mazvil81@gmail.com,mazvil.myshopify.com
2021-05-03 23:11:00 UTC,Uninstalled,"",,Mazvil,FR,mazvil81@gmail.com,mazvil.myshopify.com
2021-05-03 23:21:58 UTC,Installed,,,Fernhouse Flowers Maui,US,fernhouseflowers@gmail.com,maui-flower-crate.myshopify.com
2021-05-03 23:22:37 UTC,Uninstalled,Does not meet my needs,,Fernhouse Flowers Maui,US,fernhouseflowers@gmail.com,maui-flower-crate.myshopify.com
2021-05-03 23:52:23 UTC,Closed Store,,,TAO Clean UK,US,ryan@taoclean.com,taoclean-uk.myshopify.com
2021-05-03 23:52:24 UTC,Recurring charge cancelled,In Cart Upsell - Beginner plan - 19.0,2021-05-15,TAO Clean UK,US,ryan@taoclean.com,taoclean-uk.myshopify.com
2021-05-04 00:20:42 UTC,Installed,,,Vush Australia,AU,info@vushstimulation.com,vush-australia.myshopify.com
2021-05-04 00:21:12 UTC,Recurring charge accepted,In Cart Upsell - FLEX - 0.0,,Vush Australia,AU,info@vushstimulation.com,vush-australia.myshopify.com
